userID,gender,age,occupation,zip,city,state,movieType,mode,median,improvement
5259,M,25,6,94404,San Mateo,CA,Drama,90,90,3
3936,F,35,12,01464,Shirley,MA,Drama,90,60,2
593,F,50,1,91711,Claremont,CA,Drama,90,90,3
4447,M,45,5,32953,Merritt Island,FL,Drama,90,90,2
4418,F,50,0,02139,Cambridge,MA,Drama,90,90,2
4026,M,25,7,68164,Omaha,NE,Drama,90,90,2
4448,M,25,14,06880,Westport,CT,Drama,90,90,3
4024,M,25,5,45011,Hamilton,OH,Drama,90,90,3
2553,M,25,7,29369,Moore,SC,Drama,90,80,3
4022,M,35,14,53403,Racine,WI,Drama,90,90,2
453,M,18,4,55102,Saint Paul,MN,Drama,90,90,2
4020,M,25,6,77034,Houston,TX,Drama,90,90,2
4021,M,50,20,95236,Linden,CA,Drama,90,90,2
4028,M,25,4,02140,Cambridge,MA,Drama,90,90,4
5499,F,25,19,60201,Evanston,IL,Drama,90,90,0
5988,M,25,15,94022,Los Altos,CA,Drama,90,90,1
5989,F,1,10,74114,Tulsa,OK,Drama,90,90,3
592,M,18,0,92103,San Diego,CA,Drama,90,70,3
5982,M,35,1,56082,Saint Peter,MN,Comedy,90,90,1
5983,M,25,3,29208,Columbia,SC,Drama,90,80,4
5980,M,56,1,42503,Somerset,KY,Comedy,90,90,3
5981,M,35,7,01776,Sudbury,MA,Drama,90,80,3
5986,F,56,1,01060,Northampton,MA,Drama,90,90,4
966,M,56,2,92262,Palm Springs,CA,Comedy,90,90,1
5984,M,25,1,60657,Chicago,IL,Drama,90,80,3
5985,F,18,4,78705,Austin,TX,Comedy,90,90,3
344,M,35,14,75034,Frisco,TX,Drama,90,90,3
345,M,25,12,94114,San Francisco,CA,Drama,90,90,2
346,F,25,0,55110,Saint Paul,MN,Drama,90,90,3
347,F,56,1,55305,Hopkins,MN,Drama,90,90,3
340,F,25,3,28001,Albemarle,NC,Drama,90,80,2
341,F,56,13,92119,San Diego,CA,Drama,90,80,2
342,M,18,12,55076,Inver Grove Heights,MN,Drama,90,90,2
343,F,35,3,55127,Saint Paul,MN,Drama,90,90,4
2918,M,25,12,98112,Seattle,WA,Drama,90,90,1
3996,M,18,14,32825,Orlando,FL,Drama,90,90,3
3995,M,35,17,22810,Basye,VA,Drama,90,90,2
3994,M,50,7,43081,Westerville,OH,Drama,90,90,1
3993,M,25,0,22015,Burke,VA,Comedy,90,90,2
349,M,1,10,08035,Haddon Heights,NJ,Drama,90,90,3
3990,M,25,16,17350,New Oxford,PA,Drama,90,90,4
964,M,25,7,94123,San Francisco,CA,Drama,90,90,3
5534,M,45,16,30102,Acworth,GA,Drama,90,90,3
965,M,56,7,10954,Nanuet,NY,Drama,90,90,2
4416,M,18,4,02134,Allston,MA,Drama,90,90,2
4932,M,25,7,63303,Saint Charles,MO,Drama,90,90,5
967,F,18,0,43615,Toledo,OH,Drama,90,90,4
2185,M,45,17,27502,Apex,NC,Drama,90,90,3
2132,M,56,14,02632,Centerville,MA,Drama,90,90,3
2919,M,18,17,88076,-,-,Drama,90,90,1
4387,F,18,4,63109,Saint Louis,MO,Drama,90,90,1
960,M,1,10,45244,Cincinnati,OH,Drama,90,90,3
3236,M,18,15,87111,Albuquerque,NM,Drama,90,90,2
4935,M,35,17,62958,Makanda,IL,Drama,90,90,4
4732,M,25,14,24450,Lexington,VA,Drama,90,90,3
4733,M,18,18,52301,Marengo,IA,Drama,90,90,3
4731,M,25,17,98033,Kirkland,WA,Drama,90,85,2
4736,M,18,20,91505,Burbank,CA,Drama,90,90,3
4936,F,18,4,63144,Saint Louis,MO,Drama,90,90,3
2318,M,56,7,48114,Brighton,MI,Drama,90,90,1
4027,F,25,7,12533,Hopewell Junction,NY,Drama,90,70,1
2316,M,35,0,13207,Syracuse,NY,Drama,90,90,2
4738,M,56,1,23608,Newport News,VA,Drama,90,90,1
2315,M,56,7,48114,Brighton,MI,Drama,90,80,2
2312,M,45,0,13131,Parish,NY,Drama,90,80,4
2310,M,45,12,48130,Dexter,MI,Drama,90,90,2
5466,M,25,12,98033,Kirkland,WA,Drama,90,90,3
5854,M,45,7,33135,Miami,FL,Drama,90,90,2
5855,M,50,7,19462,Plymouth Meeting,PA,Drama,90,90,3
5856,F,25,7,78232,San Antonio,TX,Drama,90,90,1
5857,F,45,2,43229,Columbus,OH,Drama,90,90,2
5850,F,25,7,78230,San Antonio,TX,Drama,90,80,2
5851,F,18,20,55410,Minneapolis,MN,Comedy,90,90,3
298,F,18,4,19010,Bryn Mawr,PA,Drama,90,80,3
299,M,25,12,97370,Philomath,OR,Drama,90,90,0
296,M,50,5,89432,Sparks,NV,Drama,90,90,2
297,M,18,2,97211,Portland,OR,Drama,90,70,3
294,F,45,9,43147,Pickerington,OH,Drama,90,90,2
295,M,18,0,80203,Denver,CO,Drama,90,70,3
292,M,35,7,19406,King Of Prussia,PA,Drama,90,90,2
293,M,56,1,55337,Burnsville,MN,Drama,90,90,3
290,F,25,20,94591,Vallejo,CA,Drama,90,90,4
291,M,35,12,55110,Saint Paul,MN,Drama,90,90,2
3773,M,35,6,50265,West Des Moines,IA,Drama,90,90,2
3772,M,35,17,06074,South Windsor,CT,Drama,90,70,5
3771,M,25,1,14982,-,-,Drama,90,80,2
3770,F,35,3,50322,Urbandale,IA,Drama,90,90,3
3777,M,18,4,23112,Midlothian,VA,Drama,90,90,2
3775,M,35,12,14619,Rochester,NY,Drama,90,90,1
587,M,25,20,92649,Huntington Beach,CA,Drama,90,90,4
2147,F,18,0,60641,Chicago,IL,Drama,90,85,1
3779,F,45,2,98383,Silverdale,WA,Drama,90,90,3
3778,M,25,0,61832,Danville,IL,Drama,90,85,4
2496,M,50,1,37932,Knoxville,TN,Drama,90,90,3
3686,M,25,7,48070,Huntington Woods,MI,Drama,90,90,4
270,M,50,14,55414,Minneapolis,MN,Drama,90,90,3
271,M,18,4,48202,Detroit,MI,Drama,90,90,3
272,M,18,0,80302,Boulder,CO,Drama,90,90,2
273,M,18,4,55427,Minneapolis,MN,Drama,90,90,2
274,M,18,4,55455,Minneapolis,MN,Drama,90,90,2
4650,M,25,7,30041,Cumming,GA,Drama,90,90,2
276,M,45,16,01982,South Hamilton,MA,Drama,90,75,2
277,F,35,1,98126,Seattle,WA,Drama,90,90,3
278,M,45,18,60482,Worth,IL,Comedy,90,80,2
279,M,25,14,91214,La Crescenta,CA,Drama,90,90,2
4520,M,25,4,45810,Ada,OH,Drama,90,90,3
4659,F,25,14,37076,Hermitage,TN,Drama,90,90,2
4658,M,25,4,99163,Pullman,WA,Drama,90,80,3
3211,M,50,16,20015,Washington,DC,Drama,90,90,2
3163,M,18,15,95616,Davis,CA,Drama,90,90,3
2146,M,18,2,96002,Redding,CA,Drama,90,90,3
58,M,25,2,30303,Atlanta,GA,Drama,90,90,1
4783,M,25,0,60618,Chicago,IL,Drama,90,90,2
581,M,50,14,73543,Geronimo,OK,Drama,90,90,2
4,M,45,7,02460,Newtonville,MA,Drama,90,70,4
4782,M,45,1,78212,San Antonio,TX,Drama,90,80,2
2268,F,35,1,46774,New Haven,IN,Drama,90,70,5
4431,M,1,14,80401,Golden,CO,Drama,90,90,2
2262,M,45,17,48116,Brighton,MI,Drama,90,90,2
2263,M,25,6,70508,Lafayette,LA,Drama,90,90,1
2260,F,25,20,46835,Fort Wayne,IN,Drama,90,90,3
2261,M,25,5,33025,Hollywood,FL,Drama,90,90,3
2266,F,50,2,48118,Chelsea,MI,Drama,90,90,4
1131,M,56,13,12570,Poughquag,NY,Drama,90,90,2
2264,F,45,7,37877,Talbott,TN,Drama,90,90,2
2265,M,56,13,60506,Aurora,IL,Drama,90,90,2
4518,M,25,0,80903,Colorado Springs,CO,Drama,90,90,2
2443,F,35,0,49464,Zeeland,MI,Drama,90,90,2
2441,F,45,6,42406,Corydon,KY,Drama,90,80,0
2446,M,18,7,10038,New York,NY,Drama,90,90,2
2444,F,45,4,42420,Henderson,KY,Drama,90,90,3
2445,M,25,0,48104,Ann Arbor,MI,Drama,90,90,1
2448,M,35,6,37932,Knoxville,TN,Drama,90,80,2
2449,M,56,13,37922,Knoxville,TN,Drama,90,90,2
3690,M,18,0,63116,Saint Louis,MO,Drama,90,90,3
47,M,18,4,94305,Stanford,CA,Drama,90,90,1
108,M,25,12,30316,Atlanta,GA,Drama,90,80,0
109,M,45,15,92028,Fallbrook,CA,Drama,90,90,4
102,M,35,19,20871,Clarksburg,MD,Drama,90,90,2
103,M,45,7,92104,San Diego,CA,Drama,90,90,3
