userID	gender	age	occupation	zip	movieType	mode	median	improvement	Labels
4418	F	50	0	02139	Drama	90	90	14.69	['Taste of Cherry (1997)', 'Ilsa She Wolf of the SS (1974)', 'Barenaked in America (1999)', 'Cleo From 5 to 7 (Clo de 5  7) (1962)']
4026	M	25	7	68164	Drama	90	90	14.95	['Nil By Mouth (1997)', 'About Adam (2000)', 'Poison (1991)', 'Mad Dog Time (1996)']
4448	M	25	14	06880	Drama	90	90	14.18	['Goodbye Lover (1999)', 'Farinelli', 'Fall (1997)', 'Nina Takes a Lover (1994)']
4024	M	25	5	45011	Drama	90	90	14.13	['Taste of Cherry (1997)', 'Fun and Fancy Free (1947)', 'Parasite (1982)', 'Love & Sex (2000)']
4022	M	35	14	53403	Drama	90	90	14.35	['Real Blonde The (1997)', 'Dream With the Fishes (1997)', 'Blue Collar (1978)', 'If Lucy Fell (1996)']
4023	F	35	9	32404	Drama	90	90	14.00	['Steal Big Steal Little (1995)', 'Kaspar Hauser (1993)', 'Six-String Samurai (1998)', 'Faraway So Close (In Weiter Ferne So Nah!) (1993)']
4020	M	25	6	77034	Drama	90	90	13.67	['Autumn Sonata (Hstsonaten ) (1978)', 'Harmonists The (1997)', 'Beautiful Thing (1996)', 'Keys to Tulsa (1997)']
4021	M	50	20	95236	Drama	90	90	14.26	['Sleepaway Camp (1983)', 'Dorado El (1967)', 'Hell in the Pacific (1968)', 'Shaft in Africa (1973)']
4028	M	25	4	02140	Drama	90	90	14.69	['Mad Dog Time (1996)', 'About Adam (2000)', 'Faraway So Close (In Weiter Ferne So Nah!) (1993)', 'Love Serenade (1996)']
5988	M	25	15	94022	Drama	90	90	13.90	['Grateful Dead (1995)', 'Ballad of Narayama The (Narayama Bushiko) (1982)', 'Georgia (1995)', "Draughtsman's Contract The (1982)"]
5989	F	1	10	74114	Drama	90	90	14.83	['Bootmen (2000)', 'Hugo Pool (1997)', 'Beat the Devil (1954)', "'Night Mother (1986)"]
5982	M	35	1	56082	Drama	90	90	13.46	['Tic Code The (1998)', 'Real Blonde The (1997)', 'When Night Is Falling (1995)', 'Chushingura (1962)']
5983	M	25	3	29208	Drama	90	90	13.35	['Autumn Sonata (Hstsonaten ) (1978)', 'Twin Town (1997)', 'When Night Is Falling (1995)', 'Mute Witness (1994)']
5980	M	56	1	42503	Comedy	90	90	14.46	['Far From Home', 'Love Serenade (1996)', 'Barenaked in America (1999)', 'Twilight (1998)']
5981	M	35	7	01776	Drama	90	50	14.13	['Time Regained (Le Temps Retrouv) (1999)', 'Beat the Devil (1954)', 'Braindead (1992)', 'Decline of Western Civilization Part II']
5986	F	56	1	01060	Drama	90	80	14.08	['Five Senses The (1999)', 'Fall (1997)', 'For All Mankind (1989)', 'Idolmaker The (1980)']
5987	M	25	16	10003	Drama	90	70	14.55	['Barenaked in America (1999)', 'Slipper and the Rose The (1976)', 'Tales of Terror (1962)', 'Dorado El (1967)']
5984	M	25	1	60657	Drama	90	80	14.26	['Chushingura (1962)', 'Sanjuro (1962)', 'For All Mankind (1989)', 'Shawshank Redemption The (1994)']
5985	F	18	4	78705-5221	Drama	90	90	13.62	['Source The (1999)', 'Beloved (1998)', 'Last Summer in the Hamptons (1995)', 'Kissed (1996)']
344	M	35	14	75034	Drama	90	90	14.12	['Bandits (1997)', 'Very Thought of You The (1998)', 'Inferno (1980)', 'Shawshank Redemption The (1994)']
345	M	25	12	94114	Drama	90	90	13.92	['Twin Town (1997)', 'Last Time I Committed Suicide The (1997)', 'Once Upon a Time... When We Were Colored (1995)', 'Sheltering Sky The (1990)']
346	F	25	0	55110	Drama	90	90	15.15	['Nothing But Trouble (1991)', 'Last Time I Committed Suicide The (1997)', 'Splendor (1999)', 'Hate (Haine La) (1995)']
347	F	56	1	55305	Drama	90	90	14.52	['Grateful Dead (1995)', 'Schizopolis (1996)', 'Land and Freedom (Tierra y libertad) (1995)', 'Lonely Are the Brave (1962)']
340	F	25	3	28001	Drama	90	70	14.18	['Henry', 'Cry the Beloved Country (1995)', 'Anne Frank Remembered (1995)', 'Wide Awake (1998)']
341	F	56	13	92119	Drama	90	80	14.38	['Shawshank Redemption The (1994)', 'Johns (1996)', 'Sanjuro (1962)', 'Raiders of the Lost Ark (1981)']
342	M	18	12	55076	Drama	90	90	14.60	['Hype! (1996)', 'Source The (1999)', "Widows' Peak (1994)", 'Castle The (1997)']
343	F	35	3	55127	Drama	90	80	14.63	['Star Maps (1997)', 'Thomas and the Magic Railroad (2000)', 'Agnes Browne (1999)', 'Beloved (1998)']
3997	M	35	17	45255	Drama	90	90	14.87	['Dear Diary (Caro Diario) (1994)', 'Harmonists The (1997)', 'Visitors The (Les Visiteurs) (1993)', 'Last Time I Committed Suicide The (1997)']
3996	M	18	14	32825	Drama	90	90	14.58	['Lawn Dogs (1997)', 'Hype! (1996)', 'Mad Dog Time (1996)', 'Judy Berlin (1999)']
3995	M	35	17	22810	Drama	90	90	14.09	['Mad Dog Time (1996)', 'Crime and Punishment in Suburbia (2000)', 'Vibes (1988)', 'Two Family House (2000)']
3994	M	50	7	43081	Drama	90	90	14.10	['Eighth Day The (Le Huitime jour ) (1996)', 'Faraway So Close (In Weiter Ferne So Nah!) (1993)', 'Knightriders (1981)', 'Head Above Water (1996)']
3993	M	25	0	22015	Drama	90	90	13.60	['Love & Sex (2000)', 'Taste of Cherry (1997)', 'Couch in New York A (1996)', 'Confessional The (Le Confessionnal) (1995)']
349	M	1	10	08035	Drama	90	90	14.34	['Source The (1999)', 'Hype! (1996)', "Blood For Dracula (Andy Warhol's Dracula) (1974)", 'Cabaret Balkan (Bure Baruta) (1998)']
3990	M	25	16	17350	Drama	90	80	14.63	['Taste of Cherry (1997)', 'American Dream (1990)', 'Open Your Eyes (Abre los ojos) (1997)', 'Aime & Jaguar (1999)']
4930	M	50	17	63033	Drama	90	80	13.27	['Faraway So Close (In Weiter Ferne So Nah!) (1993)', 'For All Mankind (1989)', 'Two Women (La Ciociara) (1961)', 'Godfather The (1972)']
4687	M	35	14	01746	Drama	90	90	14.64	['Tales of Terror (1962)', 'Tigerland (2000)', 'Stars Fell on Henrietta The (1995)', 'Ghost of Frankenstein The (1942)']
4416	M	18	4	02134	Drama	90	90	13.28	['Julien Donkey-Boy (1999)', 'Source The (1999)', 'Beautiful Thing (1996)', 'Tic Code The (1998)']
5992	F	18	4	21046	Drama	90	80	13.86	['Bandits (1997)', 'Shawshank Redemption The (1994)', 'Usual Suspects The (1995)', "Schindler's List (1993)"]
4932	M	25	7	63303	Drama	90	90	14.43	['Simple Twist of Fate A (1994)', 'Fatal Instinct (1993)', 'Last Time I Committed Suicide The (1997)', 'I Saw What You Did (1965)']
4685	M	35	1	55454	Drama	90	90	13.25	['Cruise The (1998)', 'Wings (1927)', "Relax... It's Just Sex (1998)", 'Bootmen (2000)']
4934	F	25	0	55108	Drama	90	90	13.83	['Source The (1999)', 'Ilsa She Wolf of the SS (1974)', 'Mrs. Dalloway (1997)', 'Scarlet Letter The (1926)']
4683	M	25	0	22101	Drama	90	90	14.07	['Solar Crisis (1993)', 'Farinelli', 'Swept from the Sea (1997)', 'Nothing But Trouble (1991)']
4732	M	25	14	24450	Drama	90	90	14.40	['Faraway So Close (In Weiter Ferne So Nah!) (1993)', 'Blue Collar (1978)', 'Barenaked in America (1999)', 'Julien Donkey-Boy (1999)']
4733	M	18	18	52301	Drama	90	90	14.41	['Dear Diary (Caro Diario) (1994)', "Blood For Dracula (Andy Warhol's Dracula) (1974)", 'Head On (1998)', 'Gabbeh (1996)']
4731	M	25	17	98033	Drama	90	90	14.27	['War Zone The (1999)', 'Grateful Dead (1995)', 'A Chef in Love (1996)', "Dog's Life A (1920)"]
4736	M	18	20	91505	Drama	90	90	13.96	['Stalker (1979)', 'Tic Code The (1998)', 'Head Above Water (1996)', 'Aime & Jaguar (1999)']
4737	M	35	16	19003	Drama	90	80	14.11	["Some Mother's Son (1996)", 'Sanjuro (1962)', 'Shawshank Redemption The (1994)', 'Last Days The (1998)']
2318	M	56	7	48114	Comedy	90	90	15.01	['Julien Donkey-Boy (1999)', 'Nil By Mouth (1997)', 'Beloved (1998)', 'Source The (1999)']
2319	M	35	7	48104	Drama	90	90	13.85	['Love Serenade (1996)', 'Henry', 'American Dream (1990)', 'Last Days The (1998)']
2316	M	35	0	13207	Drama	90	90	14.06	['Sleepaway Camp (1983)', 'Whatever Happened to Aunt Alice? (1969)', 'Poison (1991)', 'Theory of Flight The (1998)']
4738	M	56	1	23608	Drama	90	90	14.75	['Mating Habits of the Earthbound Human The (1998)', 'Curdled (1996)', 'And the Ship Sails On (E la nave va) (1984)', 'Confessional The (Le Confessionnal) (1995)']
2315	M	56	7	48114	Drama	90	90	14.41	['Wings (1927)', 'Perils of Pauline The (1947)', 'Love Serenade (1996)', 'Sleepaway Camp (1983)']
2312	M	45	0	13131	Drama	90	70	13.96	["Ballad of Ramblin' Jack The (2000)", 'Bandits (1997)', 'Sanjuro (1962)', 'Shawshank Redemption The (1994)']
2310	M	45	12	48130	Drama	90	60	14.69	['Tales of Terror (1962)', 'Ilsa She Wolf of the SS (1974)', 'Blood & Wine (1997)', 'Blue Collar (1978)']
5854	M	45	7	33135	Drama	90	90	14.54	['Plunkett & MaCleane (1999)', 'Last Time I Committed Suicide The (1997)', 'Lawn Dogs (1997)', 'Bad Taste (1987)']
5855	M	50	7	19462	Drama	90	60	14.11	["Autumn Tale An (Conte d'automne) (1998)", 'And the Ship Sails On (E la nave va) (1984)', 'Schizopolis (1996)', 'For All Mankind (1989)']
5856	F	25	7	78232	Drama	90	90	14.06	['Hot Spot The (1990)', 'Tigerland (2000)', 'I Went Down (1997)', 'Underground (1995)']
5857	F	45	2	43229	Drama	90	90	14.14	['Tango Lesson The (1997)', 'March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934)', 'Passion in the Desert (1998)', 'Nothing But Trouble (1991)']
5850	F	25	7	78230	Drama	90	80	14.22	['Sanjuro (1962)', 'Chushingura (1962)', 'Shawshank Redemption The (1994)', "Some Mother's Son (1996)"]
5851	F	18	20	55410	Drama	90	90	14.43	['Welcome to Woop-Woop (1997)', 'Dear Diary (Caro Diario) (1994)', 'Bandits (1997)', 'Careful (1992)']
298	F	18	4	19010	Drama	90	80	13.83	['Love Serenade (1996)', 'Shawshank Redemption The (1994)', 'For All Mankind (1989)', 'King of Masks The (Bian Lian) (1996)']
299	M	25	12	97370	Drama	90	90	14.36	['Fall (1997)', 'Black Sabbath (Tre Volti Della Paura I) (1963)', 'Man of the Year (1995)', 'Cleo From 5 to 7 (Clo de 5  7) (1962)']
296	M	50	5	89432	Drama	90	90	13.95	['For All Mankind (1989)', 'Beautiful Thing (1996)', 'Bandit Queen (1994)', 'Hype! (1996)']
297	M	18	2	97211	Drama	90	70	13.85	['For All Mankind (1989)', 'Shawshank Redemption The (1994)', 'Godfather The (1972)', 'Usual Suspects The (1995)']
294	F	45	9	43147	Drama	90	85	13.92	['Cruise The (1998)', 'Marcello Mastroianni', 'Cavalcade (1933)', 'Wide Awake (1998)']
