gender	age	Average_age	Types
M	25	42.56	['Drama', 'Comedy', 'War', 'Documentary', 'Animation']
F	1	28.08	['Drama', 'Comedy', 'Documentary', 'War', 'Thriller']
M	35	30.22	['Drama', 'Comedy', 'War', 'Romance', 'Action']
M	25	24.34	['Drama', 'War', 'Action', 'Comedy', 'Romance']
M	56	46.48	['Drama', 'Comedy', 'War', 'Thriller', 'Film-Noir']
M	35	41.36	['Drama', 'Comedy', 'War', 'Romance', 'Documentary']
F	56	33.4	['Drama', 'Comedy', 'Animation', 'Documentary', 'Thriller']
M	25	40.3	['Drama', 'Comedy', 'Film-Noir', 'Documentary', 'Thriller']
M	25	44.22	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
F	18	35.86	['Drama', 'Action', 'Comedy', 'Animation', 'Documentary']
M	50	37.22	['Drama', 'Comedy', 'Thriller', 'War', 'Mystery']
M	18	39.42	['Drama', 'Comedy', 'Thriller', 'War', 'Mystery']
M	18	34.24	['Drama', 'Comedy', 'Documentary', 'Action', 'Horror']
M	18	20.66	['Drama', 'Comedy', 'Documentary', 'Action', 'Romance']
M	18	30.38	['Drama', 'Comedy', 'Action', 'Animation', 'Crime']
M	25	40.14	['Drama', 'Comedy', 'Animation', 'Adventure', 'Action']
M	45	34.8	['Drama', 'Thriller', 'Comedy', 'Crime', 'Documentary']
F	35	33.44	['Drama', 'Action', 'Comedy', 'Adventure', 'War']
M	45	34.54	['Drama', 'Action', 'Thriller', 'Crime', 'Documentary']
M	25	24.84	['Drama', 'War', 'Comedy', 'Romance', 'Action']
F	25	26.5	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
F	18	32.58	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
M	25	41.62	['Drama', 'Comedy', 'War', 'Film-Noir', 'Crime']
M	18	39.22	['Drama', 'Comedy', 'Mystery', 'War', 'Thriller']
M	50	43.74	['Drama', 'Comedy', 'War', 'Thriller', 'Action']
F	18	23.8	['Comedy', 'Drama', 'Romance', 'Thriller', 'Animation']
M	18	24.46	['Drama', 'Comedy', 'Thriller', 'Action', 'Adventure']
M	18	35.66	['Comedy', 'Drama', 'Animation', 'Action', 'Thriller']
M	35	44.72	['Drama', 'Comedy', 'Action', 'War', 'Documentary']
