#uid, zipcode, sex, race, income 
0,92507,0,1,7665
1,96778,0,2,42626
2,84094,1,1,2539
3,60655,0,1,195784
4,89145,0,1,62647
5,72076,1,3,8387
6,39701,1,1,99000
7,21901,0,1,142013
8,23805,0,1,72463
9,75048,0,5,38090
10,38671,1,2,48493
11,47012,0,1,167362
12,83617,1,1,13565
13,61252,0,1,27852
14,07070,0,1,53299
15,98370,1,1,252920
16,77031,1,3,71970
17,27559,1,1,131329
18,49504,0,1,104863
19,30135,0,1,59244
20,77031,1,2,22468
21,95240,1,2,8288
22,33710,1,2,292
23,97217,1,3,74137
24,04347,1,1,88278
25,19320,0,2,56318
26,85355,0,1,111550
27,29349,1,5,59898
28,70454,0,2,5174
29,46737,1,1,67262
30,48038,1,3,85668
31,37892,0,1,114410
32,95014,0,5,160200
33,50317,0,1,76366
34,89139,0,2,87486
35,32803,0,1,9732
36,75067,1,2,11837
37,53934,0,1,1011
38,43543,0,1,41020
39,19023,0,3,117946
40,22193,0,2,7251
41,05491,1,1,192
42,44081,1,2,7534
43,27932,1,1,71788
44,10541,1,1,125036
45,36786,1,3,36146
46,85283,1,2,53539
47,07047,1,2,46385
48,43206,1,1,206180
49,35811,1,1,226301
50,77084,1,2,46140
51,08077,0,1,243684
52,00683,1,2,18407
53,34652,0,1,96816
54,01118,1,1,6370
55,95821,0,1,36377
56,19954,0,1,94059
57,28054,1,2,10487
58,48198,0,3,36851
59,92833,0,1,275478
60,80219,0,2,32514
61,07201,0,2,79857
62,48603,0,1,28084
63,78244,1,2,5304
64,50447,1,2,10990
65,84604,1,1,173818
66,62301,0,1,25902
67,43240,0,1,8340
68,85031,1,2,7756
69,97006,1,1,54258
70,27612,1,3,4759
71,37813,0,1,37223
72,85730,1,2,3877
73,33161,0,3,1364
74,10605,0,1,156373
75,02338,0,1,49957
76,00719,0,2,68069
77,13104,1,1,239894
78,46825,1,1,13376
79,24141,0,1,104083
80,55060,0,7,38661
81,19506,1,1,57991
82,07047,1,1,205620
83,48414,0,1,58898
84,60661,0,5,60769
85,89503,1,1,8722
86,92010,1,1,9937
87,33776,0,1,38635
88,01540,0,1,69619
89,20855,1,5,25825
90,32068,0,1,193329
91,35124,1,1,26959
92,28722,0,1,61375
93,78254,0,2,61328
94,11764,0,1,177942
95,23228,0,3,21160
96,44641,0,1,15389
97,39532,0,1,223423
98,07728,1,1,51904
99,90731,1,1,164853
100,40065,1,1,34483
101,46580,1,5,107860
102,36083,1,3,42781
103,33463,1,1,16911
104,37909,1,1,25615
105,77901,1,3,91662
106,92507,1,2,30721
107,41183,0,1,36179
108,95624,0,1,64768
109,23323,0,3,27573
110,60106,0,2,34998
111,20708,1,7,81227
112,54220,1,1,138065
113,24501,1,3,47972
114,45305,1,1,112069
115,71603,0,3,70285
116,92069,1,2,75635
117,19123,0,7,46434
118,95130,0,1,204215
119,00969,1,2,109558
120,27565,1,3,87394
121,33884,1,1,73031
122,48706,1,1,37767
123,77072,1,2,72485
124,75061,1,2,13049
125,98296,1,1,76636
126,22554,0,1,20671
127,49829,0,1,166447
128,10025,1,3,64872
129,87027,1,3,51939
130,76109,1,1,232839
131,12458,1,1,10671
132,22405,0,1,94699
133,28787,1,1,2743
134,73717,0,1,90502
135,78413,1,1,101400
136,15320,0,1,88652
137,10301,1,1,72390
138,45044,1,1,82781
139,94566,0,2,39491
140,49441,0,1,35852
141,75098,1,1,16964
142,90003,0,2,36132
143,52641,0,1,22494
144,07009,0,1,352110
145,15221,0,3,13311
146,70005,0,1,156953
147,75455,0,1,142880
148,67401,1,1,83965
149,02026,1,1,355387
150,30605,1,1,60721
151,27288,1,3,24368
152,54806,1,1,16486
153,63026,1,1,94887
154,46033,1,1,139409
155,66205,0,1,295535
156,40299,1,1,68701
157,11226,1,1,3540
158,20602,0,3,76785
159,39501,1,1,64557
160,95901,1,2,829
161,91030,0,2,17638
162,28560,0,1,189938
163,78015,0,1,75609
164,29605,0,3,108368
165,75082,1,2,162528
166,37086,1,3,57848
167,11550,1,2,48781
168,20018,0,3,156451
169,29072,0,3,10033
170,03276,1,1,200956
171,11412,0,3,3869
172,48230,1,1,63067
173,53511,1,1,62555
174,41063,1,1,27509
175,00739,0,2,12760
176,95204,1,2,35702
177,89156,0,7,23173
178,51652,0,1,11599
179,34428,1,1,37552
180,28052,0,1,32087
181,60103,0,1,30014
182,91605,0,2,25718
183,63121,1,3,96797
184,30076,1,1,162934
185,50597,1,1,77128
186,48040,1,1,42835
187,19146,0,3,12835
188,47952,0,1,51247
189,98233,0,1,158084
190,02718,1,1,132178
191,37804,1,2,70614
192,33432,0,3,9435
193,91331,1,1,21873
194,98116,1,1,192482
195,87114,1,2,149335
196,07748,0,1,149260
197,90019,0,2,38646
198,10128,1,5,199207
199,79110,0,2,8626
200,29627,0,1,180641
201,02920,0,2,76086
202,22942,1,1,61280
203,61364,0,1,74812
204,08037,1,1,49116
205,94582,1,5,49316
206,23434,1,3,132829
207,10457,1,3,14965
208,23322,0,1,234859
209,32129,0,1,3858
210,21209,1,1,104871
211,95210,0,2,44607
212,66208,0,1,80862
213,02644,0,1,16470
214,31719,1,3,12033
215,08343,0,1,38009
216,39301,1,1,37124
217,93460,1,1,184587
218,67860,0,1,39457
219,70518,1,1,226740
220,93637,1,2,3006
221,47715,1,1,44357
222,90025,1,1,143232
223,40324,0,1,157985
224,75080,1,1,34493
225,00693,1,2,4687
226,60148,1,1,47728
227,30297,0,1,38089
228,29730,0,1,49960
229,07083,0,2,29498
230,11422,0,3,5527
231,85286,0,5,221584
232,94015,0,5,52506
233,37379,0,1,115447
234,60164,1,2,56330
235,42378,1,1,31380
236,14218,1,1,98431
237,30605,0,2,29127
238,44857,0,1,183072
239,81212,0,2,12835
240,90222,0,2,42198
241,22102,0,1,127930
242,50588,1,1,28315
243,08701,0,1,477
244,48334,1,5,86924
245,32779,0,1,59002
246,60477,1,2,124553
247,15210,1,3,3196
248,00920,0,2,31083
249,13905,0,1,7155
250,87937,0,1,72072
251,04574,0,1,13770
252,60630,1,2,118026
253,75024,1,1,180325
254,20003,0,3,41075
255,47165,1,1,39562
256,85395,1,4,40063
257,37208,0,3,28002
258,29644,1,1,16449
259,14750,1,5,56958
260,18801,1,1,54765
261,53215,0,2,24887
262,48111,1,1,27351
263,92313,0,1,121983
264,70583,0,1,24837
265,28277,0,1,51711
266,19320,1,1,148468
267,27217,0,2,348
268,48183,1,1,10600
269,32082,1,2,92279
270,38111,0,2,59074
271,48212,0,5,21891
272,95648,0,7,20130
273,28173,0,1,42329
274,16201,1,1,11333
275,40069,1,1,172882
276,47454,0,1,123584
277,26104,0,1,1689
278,77065,0,2,112991
279,97032,1,1,3519
280,33147,0,3,108352
281,91342,0,2,21983
282,75070,0,1,125107
283,07105,1,1,182975
284,60657,0,1,156572
285,27834,1,3,52684
286,39443,0,8,21254
287,91950,0,1,15288
288,19114,0,1,51196
289,06118,0,2,1090
290,32746,0,2,177190
291,68840,1,1,43047
292,62568,0,1,17151
293,48015,1,1,19931
294,33637,1,1,32057
295,21093,0,2,80059
296,90604,1,5,25449
297,48185,1,3,85754
298,54311,0,1,12613
299,72034,0,1,156740
300,21223,0,3,21614
301,78380,0,2,49580
302,33764,0,1,44768
303,32807,0,1,38628
304,85037,0,2,31377
305,10509,1,1,15735
306,95608,1,1,22058
307,01886,0,1,25065
308,08753,0,1,96042
309,75977,1,3,23014
310,68107,1,2,44268
311,85120,0,1,63250
312,92154,1,2,16992
313,94533,0,7,97266
314,74112,1,2,19551
315,30519,1,3,98031
316,47302,0,1,76057
317,76040,1,1,1547
318,16001,0,1,118324
319,44108,0,3,12323
320,95112,0,2,124647
321,35653,1,2,11601
322,57701,1,1,91787
323,16440,0,1,130510
324,98021,0,1,55940
325,85226,1,1,320940
326,97038,0,1,21093
327,32327,0,1,124130
328,92570,1,2,24537
329,60643,1,1,225666
330,60618,1,1,6923
331,48336,1,3,162029
332,38108,0,3,55304
333,85283,0,1,120825
334,33813,1,1,48818
335,56501,1,1,106130
336,34428,1,4,6884
337,80012,1,1,68434
338,40160,0,3,42481
339,30753,0,2,11089
340,78577,1,2,26755
341,14094,1,1,61841
342,29841,0,1,73106
343,85298,0,2,40958
344,30233,1,1,44427
345,28306,0,2,23018
346,91745,1,5,44908
347,13166,0,1,30623
348,29579,1,1,130821
349,78382,0,1,33261
350,93263,1,2,95216
351,11225,0,2,533
352,32312,0,1,114580
353,48035,0,8,3172
354,28376,1,1,11956
355,28613,0,1,31376
356,97111,0,1,28288
357,08873,0,1,354603
358,86326,0,2,11424
359,60660,0,1,161855
360,73533,1,1,88765
361,89460,1,2,23398
362,89433,0,5,3031
363,44048,1,1,43534
364,20816,0,1,348908
365,00650,1,2,12622
366,95035,1,2,124085
367,39083,1,3,325
368,00680,0,2,18123
369,02130,1,1,46309
370,00949,0,2,20523
371,77520,0,2,48331
372,57732,1,1,55912
373,32025,1,2,27105
374,77581,0,2,18653
375,60616,0,1,93974
376,00720,0,2,30649
377,95355,1,1,107517
378,44615,0,1,48987
379,38863,1,1,15813
380,28144,0,1,18831
381,11221,1,3,64140
382,31815,1,3,14121
383,33033,0,1,155381
384,78130,1,1,35879
385,37343,0,1,119543
386,78541,1,2,66365
387,48446,1,1,47124
388,02830,0,1,67174
389,11231,1,1,209969
390,95820,1,1,20937
391,70117,0,3,1674
392,20165,0,1,34256
393,21740,1,1,73504
394,40509,1,1,10015
395,44685,0,1,162468
396,71323,1,1,122716
397,80521,0,1,167713
398,80526,0,1,56055
399,33626,1,1,383813
400,38017,1,1,30568
401,64110,0,3,63069
402,38109,0,3,62683
403,07748,1,1,4755
404,32962,0,1,188341
405,32808,0,3,19392
406,83642,0,1,45532
407,04087,0,1,77848
