#uid, zipcode, sex, race, income
0,01843,1,5,57426
1,02724,1,1,95546
2,50310,0,1,26429
3,35215,1,3,19014
4,25705,1,1,12921
5,19090,1,1,12102
6,64106,1,3,16689
7,43615,1,1,38225
8,07721,1,3,107742
9,47923,0,1,63306
10,30028,0,1,30974
11,11758,1,1,12134
12,19522,0,1,63509
13,43326,0,2,13918
14,32746,1,2,132772
15,33431,1,1,336979
16,06351,1,1,14466
17,77083,0,2,50650
18,45377,0,1,4732
19,94112,1,7,89652
20,32092,0,6,39982
21,20011,1,2,34897
22,95110,1,2,52463
23,80951,1,2,47622
24,38016,1,3,60579
25,02135,0,1,121535
26,76179,0,1,12683
27,91768,0,3,89844
28,72927,0,1,38477
29,95703,0,1,171975
30,95823,1,3,23248
31,10473,0,3,1576
32,43110,0,1,142688
33,55912,1,1,219760
34,73108,0,1,16202
35,08234,0,4,139896
36,21014,1,1,35237
37,48081,1,3,24206
38,55906,1,1,211
39,48065,1,1,110727
40,94550,0,7,20260
41,60630,0,2,471
42,80111,1,1,75241
43,75789,1,1,173149
44,63116,0,3,26234
45,07712,1,1,22620
46,89178,0,1,108445
47,60620,1,2,12613
48,33713,0,1,55640
49,93933,0,1,135114
50,62618,0,2,37830
51,80228,0,1,13719
52,54494,0,1,3022
53,46033,1,1,405
54,01876,1,1,21104
55,24019,1,1,108519
56,33428,1,1,48054
57,60073,0,2,41258
58,48446,0,1,9996
59,11967,0,1,59342
60,22553,0,1,43823
61,73118,1,1,3181
62,40759,0,1,10120
63,92688,1,2,164787
64,94523,1,1,139779
65,46947,0,2,15314
66,21409,0,3,72880
67,95503,0,1,21847
68,46901,1,1,16126
69,53188,0,1,37210
70,53558,1,1,115010
71,19348,1,1,342713
72,78665,0,1,95781
73,87112,1,1,410
74,95833,1,3,35472
75,50069,0,1,45820
76,78726,0,1,80359
77,13850,1,1,65273
78,14222,1,1,268834
79,90066,0,1,131273
80,06516,1,3,20434
81,78574,1,1,14719
82,33065,0,1,54507
83,84663,0,1,1160
84,32926,0,1,1025
85,33463,0,2,12861
86,80222,0,5,33696
87,64086,0,1,10961
88,53178,0,1,212773
89,11233,1,3,49432
90,61038,0,2,12541
91,55103,0,1,192672
92,88011,0,2,172338
93,19904,0,1,69961
94,46517,1,3,8999
95,00680,0,2,16560
96,46360,1,1,61504
97,08865,1,1,138951
98,73159,0,2,20028
99,48038,1,1,187252
100,57107,0,1,36394
