#zipcode,latitude,longtitude
01020,42.175992,-72.57265
01028,42.066795,-72.5102
01035,42.35549,-72.5733
01060,42.324539,-72.63561
01085,42.133642,-72.75029
01089,42.112793,-72.64066
01129,42.121031,-72.4896
01201,42.45384,-73.254
01230,42.189715,-73.35249
01301,42.605524,-72.60098
01440,42.575355,-71.99183
01453,42.526523,-71.75358
01501,42.20361,-71.83843
01545,42.286643,-71.72502
01566,42.104581,-72.08584
01581,42.269845,-71.61408
01604,42.255393,-71.77459
01701,42.318695,-71.42344
01720,42.477142,-71.4422
01752,42.350909,-71.54753
01757,42.149176,-71.52149
01760,42.290763,-71.35368
01801,42.484545,-71.15206
01803,42.506362,-71.20008
01824,42.595491,-71.3544
01845,42.683841,-71.11171
01867,42.52585,-71.10993
01906,42.462796,-71.0098
01915,42.560995,-70.8757
01923,42.569756,-70.94322
01970,42.516845,-70.8985
02019,42.075122,-71.47953
02026,42.244609,-71.16553
02035,42.061427,-71.24232
02048,42.019982,-71.2191
02062,42.185974,-71.20166
02108,42.357903,-71.06408
02122,42.296298,-71.05454
02131,42.284678,-71.13052
02134,42.355147,-71.13164
02135,42.348418,-71.15349
02138,42.379146,-71.12803
02145,42.390846,-71.09225
02151,42.416247,-71.00525
02184,42.209555,-70.99968
02191,42.242749,-70.94434
02215,42.346997,-71.10215
02301,42.0794,-71.03441
02322,42.121932,-71.04522
02359,42.065554,-70.80426
02360,41.894676,-70.61999
02451,42.393029,-71.24771
02494,42.29813,-71.23154
02540,41.56105,-70.61968
02571,41.751554,-70.71059
02601,41.654741,-70.2895
02653,41.777647,-69.97312
02703,41.928099,-71.31456
02719,41.634152,-70.8814
02722,41.756214,-71.067062
02767,41.934586,-71.04905
02771,41.84345,-71.32343
02842,41.511739,-71.28658
02852,41.589701,-71.454
02879,41.423601,-71.52322
02886,41.705478,-71.45119
02891,41.354881,-71.80387
02904,41.859199,-71.43142
02917,41.894499,-71.51646
02920,41.7715,-71.46485
03031,42.854886,-71.6082
03053,42.880481,-71.38205
03060,42.748888,-71.46492
03063,42.770738,-71.51047
03079,42.792456,-71.21316
03103,42.967684,-71.44828
03110,42.942551,-71.51993
03276,43.446729,-71.5785
03301,43.213705,-71.53774
03431,42.946418,-72.28616
03561,44.313606,-71.79751
03784,43.649781,-72.30594
03801,43.070188,-70.77684
03839,43.267581,-70.98552
03860,44.035684,-71.13084
03865,42.837189,-71.09445
03874,42.88439,-70.85466
03878,43.253783,-70.87549
03885,43.015756,-70.90192
04005,43.480704,-70.45871
04011,43.8992,-69.95894
04062,43.810673,-70.41697
04105,43.736732,-70.26027
04106,43.631549,-70.27272
04240,44.094773,-70.19141
04330,44.344406,-69.76345
04401,44.81777,-68.78952
04841,44.108735,-69.11366
04901,44.554965,-69.61297
05201,42.882231,-73.17873
05301,42.849957,-72.62328
05403,44.451941,-73.17941
05495,44.44524,-73.09917
05701,43.617302,-72.96325
06010,41.682249,-72.93365
06033,41.707932,-72.57085
06066,41.841615,-72.46708
06082,41.987238,-72.56365
06092,41.861297,-72.86055
06111,41.688899,-72.73101
06117,41.791399,-72.74853
06226,41.714867,-72.20934
06241,41.850225,-71.85749
06320,41.352498,-72.10338
06360,41.533848,-72.06232
06405,41.277763,-72.80542
06457,41.553672,-72.6632
06460,41.21953,-73.0554
06475,41.289348,-72.38285
06484,41.306396,-73.1292
06488,41.475263,-73.22184
06489,41.612298,-72.87103
06492,41.457711,-72.81704
06514,41.357947,-72.93765
06705,41.54903,-72.99861
06776,41.581494,-73.41313
06790,41.820274,-73.11787
06795,41.608196,-73.12099
06810,41.390194,-73.45441
06811,41.425594,-73.47006
06824,41.163879,-73.265744
06851,41.134896,-73.4053
06854,41.092196,-73.42869
06878,41.034264,-73.5842
06905,41.081396,-73.54506
07002,40.666552,-74.11768
07003,40.803,-74.18895
07009,40.855854,-74.22898
07014,40.834049,-74.13669
07020,40.830733,-73.97334
07024,40.849879,-73.97501
07036,40.633953,-74.25339
07039,40.788733,-74.32134
07047,40.7946,-74.01963
07052,40.78865,-74.25541
07054,40.860149,-74.4171
07069,40.641207,-74.443695
07073,40.830158,-74.09707
07080,40.580703,-74.41401
07081,40.701801,-74.32216
07088,40.718401,-74.28416
07304,40.716452,-74.07253
07310,40.731901,-74.0402
07436,41.028884,-74.23727
07446,41.058819,-74.14238
07457,40.990032,-74.31023
07470,40.943608,-74.25004
07511,41.011428,-74.304793
07601,40.888678,-74.0488
07621,40.923748,-73.99879
07652,40.947107,-74.07047
07656,41.034672,-74.04065
07663,40.904131,-74.09474
07702,40.329128,-74.06315
07712,40.232713,-74.03143
07726,40.294244,-74.34213
07728,40.241036,-74.27629
07730,40.423298,-74.179
07731,40.146597,-74.20815
07748,40.410213,-74.11718
07840,40.861748,-74.83054
07860,41.0714,-74.80199
07869,40.847649,-74.5748
07876,40.855549,-74.65251
07930,40.786549,-74.68799
07940,40.75875,-74.41609
07960,40.79215,-74.48559
08002,39.932279,-75.02266
08012,39.784614,-75.05678
08028,39.700008,-75.11951
08050,39.707575,-74.25933
08053,39.88488,-74.90416
08057,39.968962,-74.9489
08060,39.991562,-74.79747
08075,40.029361,-74.9541
08091,39.807695,-74.93392
08096,39.830313,-75.13221
08106,39.892213,-75.07212
08210,39.081754,-74.83658
08244,39.319901,-74.5999
08330,39.478771,-74.7581
08332,39.379382,-75.03923
08520,40.262809,-74.53246
08540,40.357439,-74.64922
08648,40.276782,-74.72951
08691,40.207034,-74.59364
08723,40.042479,-74.123
08731,39.848035,-74.21297
08750,40.133754,-74.04123
08753,39.974584,-74.15141
08816,40.434239,-74.40504
08822,40.515645,-74.85319
08830,40.571504,-74.3183
08844,40.502477,-74.650023
08850,40.451105,-74.43938
08852,40.389428,-74.54329
08865,40.689123,-75.17243
08869,40.571302,-74.6374
10001,40.750742,-73.99653
10003,40.732509,-73.98935
10007,40.714754,-74.00721
10010,40.739022,-73.98205
10011,40.741012,-74.00012
10016,40.74618,-73.97759
10017,40.752159,-73.97231
10018,40.755101,-73.99337
