ZipCode,Housing Units,Median Age,Total Population,White,Black or African American,AIAN,Asian,NHOPI,Other,Two or more races,12:00am to 4:59am,8:00am to 8:29am,8:30am to 8:59am,9:00am to 9:59am,10:00am to 10:59am,12:00pm to 3:59pm,4:00pm to 11:59pm,Family households,Nonfamily households,Less than high school graduate,Median hh income 12 months,Aggregate hh income 12 months,PPP income 12 months,Total Housing Units,Median number of rooms,Median contract rent
94130,85,26.1,3083,1155,719,50,493,32,341,293,76,91,77,122,70,194,55,367,44,184,38077,34866500,14101,840,5.4,1647
94131,925,42.4,28370,19038,1721,134,4676,46,1212,1543,280,3237,1849,1729,558,931,243,5776,5106,940,100114,1759785700,63926,13999,4.9,1769
94132,822,34.9,31926,12179,2754,143,13146,0,2035,1669,406,2294,829,1466,673,1184,856,6171,2689,2559,66607,950370700,31278,11221,4.6,1748
94133,820,41.9,27662,11463,276,30,14148,5,716,1024,178,2540,1840,1647,696,1021,401,5480,5762,5428,53150,1248702200,46877,14907,3.5,1254
94134,1104,40,40343,8150,3406,146,22700,582,3874,1485,737,2846,850,1730,855,1593,920,8842,2248,8412,60230,921767400,24795,12438,4.9,1109
94114,1368,41.5,32229,25740,736,195,3212,83,912,1351,115,4489,2346,2607,807,532,335,5251,6621,726,122970,2679733600,85212,17929,4.6,1788
94118,1158,37.9,40102,23156,792,31,13255,102,699,2067,288,4396,2149,2287,932,1093,689,7945,6384,2623,82993,2269568600,58364,18713,4.5,1590
94112,1876,40.9,83032,25376,3075,420,40378,323,10531,2929,1589,6008,2058,4163,1806,3711,2426,16949,3898,13736,71505,2064716300,26998,23966,5.1,1359
94110,2076,36.6,71422,43448,2890,402,9587,210,11067,3818,857,7902,4599,4814,2169,2300,2054,12518,8693,7946,84488,3306278100,49010,29386,4.3,1387
94111,187,46.6,3477,1994,43,16,1155,20,33,216,0,289,373,282,33,26,14,771,1186,417,103472,305659700,88024,2495,3.1,2001
94116,1087,43.1,45552,17356,595,61,24408,16,1123,1993,615,3857,1607,2468,910,1324,1062,11051,3344,5294,84828,1909383900,43791,16436,5.4,1463
94117,1217,33.5,42638,31687,2994,241,4458,45,1235,1978,449,5019,3211,3498,1231,1649,1274,5470,7401,1263,103333,2435404300,60462,19696,4,1719
94158,106,32.5,5530,2579,384,0,2210,0,191,166,145,532,389,776,187,33,76,1056,1134,268,83542,314300200,58691,2964,2.9,2001
94115,1169,37.6,34556,21367,3924,53,7444,155,705,908,333,3290,2764,1781,906,898,717,6582,8296,1980,85330,2334896500,69934,19149,3.7,1578
94127,522,45.4,19356,11279,431,24,5829,74,619,1100,104,1821,961,1177,374,393,164,5120,1489,692,131108,1198918300,63770,7479,6.3,2001
94124,893,34.4,35201,5698,11697,282,11588,709,3700,1527,567,2285,655,1360,757,1294,896,7480,2214,6156,49594,717172100,22002,11178,4.9,825
94123,888,34.6,25528,21346,321,26,2735,15,260,825,374,3472,1780,1541,422,348,253,4772,7152,615,121200,2279939200,91429,15305,3.9,1855
94122,1652,39.8,58547,24972,505,21,28159,264,1341,3285,542,5469,2668,3036,1250,1952,1049,12573,6363,5244,86070,2398021900,42958,23712,4.9,1624
94121,1395,42.3,42043,19401,646,67,18753,440,634,2102,390,3120,1849,2050,1140,1640,729,9643,5816,4284,70220,1773609300,43827,18776,4.8,1462
94129,96,31.6,3334,2802,50,0,372,0,13,97,5,382,132,192,93,54,45,576,352,0,144886,237425800,74800,1288,5.3,2001
94109,1985,36.5,54768,32432,2279,85,15047,62,2676,2187,563,6268,3367,3582,1586,1853,1803,7939,19103,4002,63173,3247693200,61275,36352,2.9,1395
94108,645,42.8,13930,4531,302,30,8322,1,305,439,129,1051,815,1261,520,527,372,2576,4146,3450,36875,602438000,44738,8556,2.4,1001
94103,701,41.3,24108,10913,2247,206,7136,117,2326,1163,279,1874,1207,1614,548,732,565,3642,6762,3914,41612,945855200,41345,14477,2.9,888
94102,1028,42.3,28013,12032,3670,326,8652,122,1884,1327,286,1852,1669,1770,683,1361,815,3908,10093,4525,24127,871237100,32757,19004,2,845
94105,142,36.3,6282,3545,114,0,2500,0,111,12,54,758,1196,554,74,128,68,1274,1692,124,170656,885951200,142620,5021,3.1,2001
94104,20,50.4,223,127,0,0,67,0,29,0,0,38,3,16,9,11,0,36,105,26,80341,27666400,124574,284,2.9,667
94107,879,37,27792,16454,1040,135,7844,143,968,1208,201,3152,2225,2763,826,373,445,5879,5266,1494,120610,2021926000,74603,14922,3.3,2001
94014,966,36.6,48536,12180,1441,141,25210,86,7452,2026,1270,2729,1358,1869,964,2137,2124,10383,2261,5979,71668,1175790300,26122,14314,4.7,1373
